Created Date,Created Time,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Borough
1/1/12,0:49,Noise - Residential,Loud Music/Party,Residential Building/House,10038,33 GOLD STREET,GOLD STREET,JOHN STREET,RYDERS ALLEY,,,ADDRESS,NEW YORK,,MANHATTAN
1/1/12,1:01,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10006,WASHINGTON STREET,WASHINGTON STREET,CARLISLE STREET,ALBANY STREET,,,BLOCKFACE,NEW YORK,,MANHATTAN
1/1/12,3:11,Noise - Residential,Loud Music/Party,Residential Building/House,10013,60 BEACH STREET,BEACH STREET,COLLISTER STREET,GREENWICH STREET,,,ADDRESS,NEW YORK,,MANHATTAN
1/6/12,15:53,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10007,,,,,VESEY STREET,CHURCH STREET,INTERSECTION,NEW YORK,,MANHATTAN
1/6/12,17:39,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10007,,,,,VESEY STREET,CHURCH STREET,INTERSECTION,NEW YORK,,MANHATTAN
1/7/12,0:30,Noise - Vehicle,Engine Idling,Street/Sidewalk,10007,,,,,BROADWAY,FULTON STREET,INTERSECTION,NEW YORK,,MANHATTAN
1/7/12,23:14,Noise - Residential,Loud Music/Party,Residential Building/House,10038,12 JOHN STREET,JOHN STREET,BROADWAY,NASSAU STREET,,,ADDRESS,NEW YORK,,MANHATTAN
1/7/12,23:24,Noise - Residential,Loud Music/Party,Residential Building/House,10038,12 JOHN STREET,JOHN STREET,BROADWAY,NASSAU STREET,,,ADDRESS,NEW YORK,,MANHATTAN
1/8/12,1:17,Noise - Residential,Loud Music/Party,Residential Building/House,10013,170 DUANE STREET,DUANE STREET,HUDSON STREET,BEND,,,ADDRESS,NEW YORK,,MANHATTAN
1/9/12,15:35,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10007,,,,,CHURCH STREET,VESEY STREET,INTERSECTION,NEW YORK,,MANHATTAN
1/9/12,15:37,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10007,,,,,CHURCH STREET,FULTON STREET,INTERSECTION,NEW YORK,,MANHATTAN
1/9/12,21:00,Noise - Residential,Loud Music/Party,Residential Building/House,10013,34 DESBROSSES STREET,DESBROSSES STREET,WASHINGTON STREET,JOE DIMAGGIO HIGHWAY,,,ADDRESS,NEW YORK,,MANHATTAN
1/10/12,19:12,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10006,,,,,LIBERTY STREET,CHURCH STREET,INTERSECTION,NEW YORK,,MANHATTAN
1/10/12,19:24,Noise - Commercial,Banging/Pounding,Club/Bar/Restaurant,10038,112 FULTON STREET,FULTON STREET,DUTCH STREET,NASSAU STREET,,,ADDRESS,NEW YORK,,MANHATTAN
1/10/12,21:46,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10005,,,,,LIBERTY STREET,BROADWAY,INTERSECTION,NEW YORK,,MANHATTAN
1/11/12,13:30,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10005,,,,,BROADWAY,LIBERTY STREET,INTERSECTION,NEW YORK,,MANHATTAN
1/13/12,12:36,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,10005,,,,,FRONT STREET,GOUVERNEUR LANE,INTERSECTION,NEW YORK,,MANHATTAN
1/14/12,14:33,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10005,,,,,LIBERTY STREET,BROADWAY,INTERSECTION,NEW YORK,,MANHATTAN
1/15/12,5:22,Noise - Residential,Loud Music/Party,Residential Building/House,10038,2 GOLD STREET,GOLD STREET,LIBERTY STREET,PLATT STREET,,,ADDRESS,NEW YORK,,MANHATTAN
1/16/12,8:50,Noise - Residential,Loud Music/Party,Residential Building/House,10013,408 GREENWICH STREET,GREENWICH STREET,HUBERT STREET,LAIGHT STREET,,,ADDRESS,NEW YORK,,MANHATTAN
1/17/12,11:03,Noise - Residential,Loud Music/Party,Residential Building/House,10013,408 GREENWICH STREET,GREENWICH STREET,HUBERT STREET,LAIGHT STREET,,,ADDRESS,NEW YORK,,MANHATTAN
1/20/12,12:06,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,10005,,,,,FRONT STREET,GOUVERNEUR LANE,INTERSECTION,NEW YORK,,MANHATTAN
1/21/12,6:43,Noise - Residential,Loud Music/Party,Residential Building/House,10013,56 WALKER STREET,WALKER STREET,CHURCH STREET,BROADWAY,,,ADDRESS,NEW YORK,,MANHATTAN
1/22/12,0:52,Noise - Residential,Loud Music/Party,Residential Building/House,10004,1 WEST STREET,WEST STREET,BATTERY PLACE,MORRIS STREET,,,ADDRESS,NEW YORK,,MANHATTAN
1/22/12,1:34,Noise - Residential,Loud Music/Party,Residential Building/House,10038,229 FRONT STREET,FRONT STREET,BEEKMAN STREET,PECK SLIP,,,ADDRESS,NEW YORK,,MANHATTAN
1/24/12,12:24,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10004,15 WILLIAM STREET,WILLIAM STREET,BEAVER STREET,EXCHANGE PLACE,,,ADDRESS,NEW YORK,,MANHATTAN
1/24/12,22:46,Noise - Park,Loud Talking,Park/Playground,10005,,,,,LIBERTY STREET,BROADWAY,INTERSECTION,NEW YORK,,MANHATTAN
1/26/12,19:07,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10007,,,,,VESEY STREET,CHURCH STREET,INTERSECTION,NEW YORK,,MANHATTAN
1/28/12,18:19,Noise - Residential,Loud Music/Party,Residential Building/House,10038,39 JOHN STREET,JOHN STREET,NASSAU STREET,DUTCH STREET,,,ADDRESS,NEW YORK,,MANHATTAN
1/28/12,23:36,Noise - Residential,Loud Music/Party,Residential Building/House,10013,180 DUANE STREET,DUANE STREET,BEND,GREENWICH STREET,,,ADDRESS,NEW YORK,,MANHATTAN
1/29/12,0:11,Noise - Residential,Loud Music/Party,Residential Building/House,10038,100 JOHN STREET,JOHN STREET,GOLD STREET,CLIFF STREET,,,ADDRESS,NEW YORK,,MANHATTAN
1/29/12,1:06,Noise - Residential,Loud Music/Party,Residential Building/House,10038,33 GOLD STREET,GOLD STREET,JOHN STREET,RYDERS ALLEY,,,ADDRESS,NEW YORK,,MANHATTAN
1/29/12,2:51,Noise - Residential,Loud Music/Party,Residential Building/House,10280,395 SOUTH END AVENUE,SOUTH END AVENUE,ALBANY STREET,LIBERTY STREET,,,ADDRESS,NEW YORK,,MANHATTAN
1/29/12,16:52,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10007,250 BROADWAY,BROADWAY,PARK PLACE,MURRAY STREET,,,ADDRESS,NEW YORK,,MANHATTAN
1/30/12,6:45,Noise - Vehicle,Engine Idling,Street/Sidewalk,10013,79 WHITE STREET,WHITE STREET,CORTLANDT ALLEY,LAFAYETTE STREET,,,ADDRESS,NEW YORK,,MANHATTAN
1/30/12,15:22,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10007,,,,,VESEY STREET,CHURCH STREET,INTERSECTION,NEW YORK,,MANHATTAN
2/1/12,4:43,Noise - Vehicle,Engine Idling,Street/Sidewalk,10013,CHURCH STREET,CHURCH STREET,WHITE STREET,WALKER STREET,,,BLOCKFACE,NEW YORK,,MANHATTAN
2/1/12,23:32,Noise - Residential,Loud Music/Party,Residential Building/House,10013,56 WALKER STREET,WALKER STREET,CHURCH STREET,BROADWAY,,,ADDRESS,NEW YORK,,MANHATTAN
2/1/12,23:34,Noise - Residential,Loud Music/Party,Residential Building/House,10013,56 WALKER STREET,WALKER STREET,CHURCH STREET,BROADWAY,,,ADDRESS,NEW YORK,,MANHATTAN
2/3/12,0:02,Noise - Commercial,Loud Music/Party,Store/Commercial,10013,56 WALKER STREET,WALKER STREET,CHURCH STREET,BROADWAY,,,ADDRESS,NEW YORK,,MANHATTAN
2/3/12,0:44,Noise - Vehicle,Engine Idling,Street/Sidewalk,10013,118 HUDSON STREET,HUDSON STREET,FRANKLIN STREET,NORTH MOORE STREET,,,ADDRESS,NEW YORK,,MANHATTAN
2/3/12,14:07,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10006,,,,,WASHINGTON STREET,RECTOR STREET,INTERSECTION,NEW YORK,,MANHATTAN
2/4/12,9:45,Noise - Residential,Banging/Pounding,Residential Building/House,10038,59 MAIDEN LANE,MAIDEN LANE,NASSAU STREET,WILLIAM STREET,,,ADDRESS,NEW YORK,,MANHATTAN
2/4/12,22:25,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10013,185 DUANE STREET,DUANE STREET,BEND,GREENWICH STREET,,,ADDRESS,NEW YORK,,MANHATTAN
2/4/12,23:28,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10013,55 WALKER STREET,WALKER STREET,CHURCH STREET,BROADWAY,,,ADDRESS,NEW YORK,,MANHATTAN
2/4/12,23:32,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,10013,52 WALKER STREET,WALKER STREET,CHURCH STREET,BROADWAY,,,ADDRESS,NEW YORK,,MANHATTAN
2/5/12,0:23,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10007,57 MURRAY STREET,MURRAY STREET,CHURCH STREET,WEST BROADWAY,,,ADDRESS,NEW YORK,,MANHATTAN
2/6/12,4:42,Noise - Vehicle,Engine Idling,Street/Sidewalk,10013,,,,,CHURCH STREET,WALKER STREET,INTERSECTION,NEW YORK,,MANHATTAN
2/6/12,20:36,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10005,54 PINE STREET,PINE STREET,WILLIAM STREET,PEARL STREET,,,ADDRESS,NEW YORK,,MANHATTAN
2/7/12,4:17,Noise - Residential,Loud Music/Party,Residential Building/House,10013,56 WALKER STREET,WALKER STREET,CHURCH STREET,BROADWAY,,,ADDRESS,NEW YORK,,MANHATTAN
2/7/12,4:50,Noise - Residential,Loud Music/Party,Residential Building/House,10013,56 WALKER STREET,WALKER STREET,CHURCH STREET,BROADWAY,,,ADDRESS,NEW YORK,,MANHATTAN
2/8/12,14:29,Noise - Residential,Loud Music/Party,Residential Building/House,10004,54 STONE STREET,STONE STREET,COENTIES ALLEY,MILL LANE,,,ADDRESS,NEW YORK,,MANHATTAN
2/9/12,6:23,Noise - Commercial,Banging/Pounding,Store/Commercial,10038,,,,,JOHN STREET,GOLD STREET,INTERSECTION,NEW YORK,,MANHATTAN
2/9/12,23:20,Noise - Residential,Loud Music/Party,Residential Building/House,10013,56 WALKER STREET,WALKER STREET,CHURCH STREET,BROADWAY,,,ADDRESS,NEW YORK,,MANHATTAN
2/10/12,6:18,Noise - Commercial,Loud Talking,Store/Commercial,10038,,,,,JOHN STREET,GOLD STREET,INTERSECTION,NEW YORK,,MANHATTAN
2/11/12,11:50,Noise - Vehicle,Engine Idling,Street/Sidewalk,10005,,,,,HANOVER STREET,WALL STREET,INTERSECTION,NEW YORK,,MANHATTAN
2/11/12,21:25,Noise - Commercial,Loud Talking,Club/Bar/Restaurant,10013,374 GREENWICH STREET,GREENWICH STREET,FRANKLIN STREET,NORTH MOORE STREET,,,ADDRESS,NEW YORK,,MANHATTAN
2/11/12,23:31,Noise - Residential,Loud Music/Party,Residential Building/House,10005,45 WALL STREET,WALL STREET,BROAD STREET,WILLIAM STREET,,,ADDRESS,NEW YORK,,MANHATTAN
2/12/12,1:37,Noise - Residential,Loud Music/Party,Residential Building/House,10038,33 GOLD STREET,GOLD STREET,JOHN STREET,RYDERS ALLEY,,,ADDRESS,NEW YORK,,MANHATTAN
2/12/12,1:41,Noise - Residential,Loud Music/Party,Residential Building/House,10038,33 GOLD STREET,GOLD STREET,JOHN STREET,RYDERS ALLEY,,,ADDRESS,NEW YORK,,MANHATTAN
2/12/12,7:47,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10013,52 WALKER STREET,WALKER STREET,CHURCH STREET,BROADWAY,,,ADDRESS,NEW YORK,,MANHATTAN
2/14/12,21:50,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10038,121 FULTON STREET,FULTON STREET,DUTCH STREET,NASSAU STREET,,,ADDRESS,NEW YORK,,MANHATTAN
2/17/12,4:00,Noise - Residential,Loud Music/Party,Residential Building/House,10013,56 WALKER STREET,WALKER STREET,CHURCH STREET,BROADWAY,,,ADDRESS,NEW YORK,,MANHATTAN
2/17/12,4:52,Noise - Residential,Loud Music/Party,Residential Building/House,10013,56 WALKER STREET,WALKER STREET,CHURCH STREET,BROADWAY,,,ADDRESS,NEW YORK,,MANHATTAN
2/17/12,23:48,Noise - Commercial,Loud Talking,Club/Bar/Restaurant,10013,374 GREENWICH STREET,GREENWICH STREET,FRANKLIN STREET,NORTH MOORE STREET,,,ADDRESS,NEW YORK,,MANHATTAN
2/18/12,8:20,Noise - Vehicle,Engine Idling,Street/Sidewalk,10005,,,,,BEAVER STREET,HANOVER STREET,INTERSECTION,NEW YORK,,MANHATTAN
2/18/12,20:05,Noise - Vehicle,Engine Idling,Street/Sidewalk,10282,400 CHAMBERS STREET,CHAMBERS STREET,NORTH END AVENUE,RIVER TERRACE,,,ADDRESS,NEW YORK,,MANHATTAN
2/19/12,0:03,Noise - Residential,Loud Music/Party,Residential Building/House,10006,113 CEDAR STREET,CEDAR STREET,TRINITY PLACE,GREENWICH STREET,,,ADDRESS,NEW YORK,,MANHATTAN
2/21/12,1:27,Noise - Residential,Loud Music/Party,Residential Building/House,10013,56 WALKER STREET,WALKER STREET,CHURCH STREET,BROADWAY,,,ADDRESS,NEW YORK,,MANHATTAN
2/21/12,2:51,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,10013,79 LAIGHT STREET,LAIGHT STREET,WASHINGTON STREET,JOE DIMAGGIO HIGHWAY,,,ADDRESS,NEW YORK,,MANHATTAN
2/21/12,9:43,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10038,,,,,JOHN STREET,DUTCH STREET,INTERSECTION,NEW YORK,,MANHATTAN
2/21/12,15:47,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10013,,,,,BROADWAY,WALKER STREET,INTERSECTION,NEW YORK,,MANHATTAN
2/22/12,0:02,Noise - Residential,Loud Music/Party,Residential Building/House,10013,80 NORTH MOORE STREET,NORTH MOORE STREET,GREENWICH STREET,JOE DIMAGGIO HIGHWAY,,,ADDRESS,NEW YORK,,MANHATTAN
2/22/12,1:41,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10038,NASSAU STREET,NASSAU STREET,JOHN STREET,FULTON STREET,,,BLOCKFACE,NEW YORK,,MANHATTAN
2/23/12,23:10,Noise - Residential,Loud Music/Party,Residential Building/House,10013,56 WALKER STREET,WALKER STREET,CHURCH STREET,BROADWAY,,,ADDRESS,NEW YORK,,MANHATTAN
2/25/12,5:13,Noise - Residential,Loud Music/Party,Residential Building/House,10013,54 WALKER STREET,WALKER STREET,CHURCH STREET,BROADWAY,,,ADDRESS,NEW YORK,,MANHATTAN
2/25/12,5:51,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10013,WALKER STREET,WALKER STREET,CHURCH STREET,BROADWAY,,,BLOCKFACE,NEW YORK,,MANHATTAN
2/25/12,6:25,Noise - Residential,Loud Music/Party,Residential Building/House,10013,52 WALKER STREET,WALKER STREET,CHURCH STREET,BROADWAY,,,ADDRESS,NEW YORK,,MANHATTAN
2/26/12,0:02,Noise - Residential,Loud Music/Party,Residential Building/House,10006,110 GREENWICH STREET,GREENWICH STREET,RECTOR STREET,CARLISLE STREET,,,ADDRESS,NEW YORK,,MANHATTAN
2/26/12,1:06,Noise - Residential,Loud Music/Party,Residential Building/House,10013,11 LISPENARD STREET,LISPENARD STREET,AVENUE OF THE AMERICAS,CHURCH STREET,,,ADDRESS,NEW YORK,,MANHATTAN
2/26/12,6:30,Noise - Commercial,Loud Music/Party,Store/Commercial,10013,56 WALKER STREET,WALKER STREET,CHURCH STREET,BROADWAY,,,ADDRESS,NEW YORK,,MANHATTAN
2/26/12,6:36,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10013,52 WALKER STREET,WALKER STREET,CHURCH STREET,BROADWAY,,,ADDRESS,NEW YORK,,MANHATTAN
2/26/12,8:10,Noise - Residential,Loud Music/Party,Residential Building/House,10007,67 READE STREET,READE STREET,BROADWAY,CHURCH STREET,,,ADDRESS,NEW YORK,,MANHATTAN
2/27/12,19:44,Noise - Vehicle,Engine Idling,Street/Sidewalk,10282,102 NORTH END AVENUE,NORTH END AVENUE,VESEY STREET,VESEY STREET,,,ADDRESS,NEW YORK,,MANHATTAN
2/27/12,21:05,Noise - Vehicle,Car/Truck Horn,Street/Sidewalk,10282,102 NORTH END AVENUE,NORTH END AVENUE,VESEY STREET,VESEY STREET,,,ADDRESS,NEW YORK,,MANHATTAN
2/27/12,22:38,Noise - Residential,Banging/Pounding,Residential Building/House,10013,40 HARRISON STREET,HARRISON STREET,GREENWICH STREET,JOE DIMAGGIO HIGHWAY,,,ADDRESS,NEW YORK,,MANHATTAN
2/28/12,1:26,Noise - Vehicle,Engine Idling,Street/Sidewalk,10013,,,,,WASHINGTON STREET,LAIGHT STREET,INTERSECTION,NEW YORK,,MANHATTAN
2/28/12,8:28,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10281,,,,,SOUTH END AVENUE,LIBERTY STREET,INTERSECTION,NEW YORK,,MANHATTAN
2/28/12,15:44,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10013,401 BROADWAY,BROADWAY,WALKER STREET,LISPENARD STREET,,,ADDRESS,NEW YORK,,MANHATTAN
2/28/12,16:12,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10013,400 BROADWAY,BROADWAY,WALKER STREET,LISPENARD STREET,,,ADDRESS,NEW YORK,,MANHATTAN
2/28/12,20:07,Noise - Park,Loud Talking,Park/Playground,10005,,,,,BROADWAY,LIBERTY STREET,INTERSECTION,NEW YORK,,MANHATTAN
2/28/12,22:15,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10282,102 NORTH END AVENUE,NORTH END AVENUE,VESEY STREET,VESEY STREET,,,ADDRESS,NEW YORK,,MANHATTAN
2/28/12,23:30,Noise - Vehicle,Engine Idling,Street/Sidewalk,10282,102 NORTH END AVENUE,NORTH END AVENUE,VESEY STREET,VESEY STREET,,,ADDRESS,NEW YORK,,MANHATTAN
3/1/12,1:44,Noise - Residential,Loud Music/Party,Residential Building/House,10038,33 GOLD STREET,GOLD STREET,JOHN STREET,RYDERS ALLEY,,,ADDRESS,NEW YORK,,MANHATTAN
3/1/12,12:08,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10013,,,,,BROADWAY,WALKER STREET,INTERSECTION,NEW YORK,,MANHATTAN
3/1/12,12:18,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10013,,,,,BROADWAY,WALKER STREET,INTERSECTION,NEW YORK,,MANHATTAN
3/1/12,13:06,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10013,401 BROADWAY,BROADWAY,WALKER STREET,LISPENARD STREET,,,ADDRESS,NEW YORK,,MANHATTAN
3/1/12,13:43,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10013,,,,,WALKER STREET,BROADWAY,INTERSECTION,NEW YORK,,MANHATTAN
3/2/12,2:10,Noise - Residential,Loud Music/Party,Residential Building/House,10038,33 GOLD STREET,GOLD STREET,JOHN STREET,RYDERS ALLEY,,,ADDRESS,NEW YORK,,MANHATTAN
3/2/12,15:49,Noise - Commercial,Loud Talking,Store/Commercial,10013,100 READE STREET,READE STREET,CHURCH STREET,WEST BROADWAY,,,ADDRESS,NEW YORK,,MANHATTAN
3/2/12,22:01,Noise - Residential,Loud Talking,Residential Building/House,10006,110 GREENWICH STREET,GREENWICH STREET,RECTOR STREET,CARLISLE STREET,,,ADDRESS,NEW YORK,,MANHATTAN
3/2/12,23:09,Noise - Residential,Banging/Pounding,Residential Building/House,10005,75 WALL STREET,WALL STREET,GOUVERNEUR LANE,WALL STREET,,,ADDRESS,NEW YORK,,MANHATTAN
3/2/12,23:28,Noise - Commercial,Loud Talking,Club/Bar/Restaurant,10013,374 GREENWICH STREET,GREENWICH STREET,FRANKLIN STREET,NORTH MOORE STREET,,,ADDRESS,NEW YORK,,MANHATTAN
3/3/12,1:40,Noise - Residential,Loud Music/Party,Residential Building/House,10013,34 DESBROSSES STREET,DESBROSSES STREET,WASHINGTON STREET,JOE DIMAGGIO HIGHWAY,,,ADDRESS,NEW YORK,,MANHATTAN
3/3/12,23:54,Noise - Residential,Banging/Pounding,,10005,95 WALL STREET,WALL STREET,GOUVERNEUR LANE,WALL STREET,,,ADDRESS,NEW YORK,,MANHATTAN
3/4/12,0:26,Noise - Residential,Loud Music/Party,,10006,75 WEST STREET,WEST STREET,RECTOR STREET,CARLISLE STREET,,,ADDRESS,NEW YORK,,MANHATTAN
3/4/12,0:37,Noise - Residential,Loud Music/Party,,10006,75 WEST STREET,WEST STREET,RECTOR STREET,CARLISLE STREET,,,ADDRESS,NEW YORK,,MANHATTAN
3/4/12,1:52,Noise - Residential,Loud Music/Party,,10038,226 FRONT STREET,FRONT STREET,BEEKMAN STREET,PECK SLIP,,,ADDRESS,NEW YORK,,MANHATTAN
3/4/12,2:04,Noise - Residential,Loud Music/Party,,10004,1 WEST STREET,WEST STREET,BATTERY PLACE,MORRIS STREET,,,ADDRESS,NEW YORK,,MANHATTAN
3/4/12,4:40,Noise - Residential,Loud Music/Party,,10013,121 READE STREET,READE STREET,HUDSON STREET,GREENWICH STREET,,,ADDRESS,NEW YORK,,MANHATTAN
3/6/12,11:52,Noise - Street/Sidewalk,Loud Music/Party,,10005,,,,,CEDAR STREET,BROADWAY,INTERSECTION,NEW YORK,,MANHATTAN
3/6/12,12:16,Noise - Street/Sidewalk,Loud Music/Party,,10004,120 BROAD STREET,BROAD STREET,WATER STREET,SOUTH STREET,,,ADDRESS,NEW YORK,,MANHATTAN
3/6/12,16:11,Noise - Street/Sidewalk,Loud Music/Party,,10013,401 BROADWAY,BROADWAY,WALKER STREET,LISPENARD STREET,,,ADDRESS,NEW YORK,,MANHATTAN
3/6/12,16:19,Noise - Street/Sidewalk,Loud Music/Party,,10013,BROADWAY,BROADWAY,WALKER STREET,CANAL STREET,,,BLOCKFACE,NEW YORK,,MANHATTAN
3/6/12,16:56,Noise - Street/Sidewalk,Loud Music/Party,,10013,410 BROADWAY,BROADWAY,WALKER STREET,LISPENARD STREET,,,ADDRESS,NEW YORK,,MANHATTAN
3/6/12,16:58,Noise - Street/Sidewalk,Loud Music/Party,,10013,,,,,BROADWAY,WALKER STREET,INTERSECTION,NEW YORK,,MANHATTAN
3/7/12,22:45,Noise - Residential,Loud Music/Party,,10038,33 GOLD STREET,GOLD STREET,JOHN STREET,RYDERS ALLEY,,,ADDRESS,NEW YORK,,MANHATTAN
3/8/12,11:31,Noise - Street/Sidewalk,Loud Talking,,10280,395 SOUTH END AVENUE,SOUTH END AVENUE,ALBANY STREET,LIBERTY STREET,,,ADDRESS,NEW YORK,,MANHATTAN
3/8/12,20:27,Noise - Commercial,Loud Talking,,10038,121 FULTON STREET,FULTON STREET,DUTCH STREET,NASSAU STREET,,,ADDRESS,NEW YORK,,MANHATTAN
3/8/12,21:51,Noise - Park,Loud Talking,,10005,,,,,BROADWAY,LIBERTY STREET,INTERSECTION,,,MANHATTAN
3/8/12,21:51,Noise - Street/Sidewalk,Loud Talking,,10005,,,,,BROADWAY,LIBERTY STREET,INTERSECTION,,,MANHATTAN
3/9/12,0:34,Noise - Vehicle,Engine Idling,,10013,49 BEACH STREET,BEACH STREET,HUDSON STREET,COLLISTER STREET,,,ADDRESS,NEW YORK,,MANHATTAN
3/9/12,12:24,Noise - Street/Sidewalk,Loud Talking,,10013,,,,,CORTLANDT ALLEY,WHITE STREET,INTERSECTION,NEW YORK,,MANHATTAN
3/9/12,12:37,Noise - Street/Sidewalk,Loud Talking,,10013,,,,,CORTLANDT ALLEY,WHITE STREET,INTERSECTION,NEW YORK,,MANHATTAN
3/9/12,12:49,Noise - Vehicle,Car/Truck Music,,10005,,,,,GOUVERNEUR LANE,FRONT STREET,INTERSECTION,NEW YORK,,MANHATTAN
3/9/12,12:59,Noise - Street/Sidewalk,Loud Talking,,10013,54 FRANKLIN STREET,FRANKLIN STREET,LAFAYETTE STREET,CORTLANDT ALLEY,,,ADDRESS,NEW YORK,,MANHATTAN
3/9/12,22:09,Noise - Residential,Loud Music/Party,,10038,12 JOHN STREET,JOHN STREET,BROADWAY,NASSAU STREET,,,ADDRESS,NEW YORK,,MANHATTAN
3/9/12,22:56,Noise - Commercial,Loud Music/Party,,10007,41 MURRAY STREET,MURRAY STREET,CHURCH STREET,WEST BROADWAY,,,ADDRESS,NEW YORK,,MANHATTAN
3/10/12,0:30,Noise - Residential,Loud Music/Party,,10038,33 GOLD STREET,GOLD STREET,JOHN STREET,RYDERS ALLEY,,,ADDRESS,NEW YORK,,MANHATTAN
3/10/12,8:40,Noise - Vehicle,Car/Truck Music,,10013,12 HARRISON STREET,HARRISON STREET,STAPLE STREET,GREENWICH STREET,,,ADDRESS,NEW YORK,,MANHATTAN
3/10/12,17:25,Noise - Street/Sidewalk,Loud Music/Party,,10038,118 NASSAU STREET,NASSAU STREET,ANN STREET,BEEKMAN STREET,,,ADDRESS,NEW YORK,,MANHATTAN
3/10/12,17:45,Noise - Commercial,Loud Music/Party,,10038,118 NASSAU STREET,NASSAU STREET,ANN STREET,BEEKMAN STREET,,,ADDRESS,NEW YORK,,MANHATTAN
3/10/12,18:21,Noise - Vehicle,Car/Truck Horn,,10038,,,,,PEARL STREET,FRANKFORT STREET,INTERSECTION,NEW YORK,,MANHATTAN
3/10/12,20:42,Noise - Commercial,Loud Music/Party,,10007,72 WARREN STREET,WARREN STREET,WEST BROADWAY,GREENWICH STREET,,,ADDRESS,NEW YORK,,MANHATTAN
3/10/12,23:51,Noise - Residential,Loud Television,,10282,41 RIVER TERRACE,RIVER TERRACE,WARREN STREET,CHAMBERS STREET,,,ADDRESS,NEW YORK,,MANHATTAN
3/11/12,0:18,Noise - Commercial,Loud Music/Party,,10007,57 MURRAY STREET,MURRAY STREET,CHURCH STREET,WEST BROADWAY,,,ADDRESS,NEW YORK,,MANHATTAN
3/11/12,5:27,Noise - Park,Loud Talking,,10005,,,,,BROADWAY,LIBERTY STREET,INTERSECTION,NEW YORK,,MANHATTAN
3/11/12,17:04,Noise - Street/Sidewalk,Loud Talking,,10282,,,,,NORTH END AVENUE,MURRAY STREET,INTERSECTION,NEW YORK,,MANHATTAN
3/12/12,1:55,Noise - Residential,Loud Music/Party,,10013,80 NORTH MOORE STREET,NORTH MOORE STREET,GREENWICH STREET,JOE DIMAGGIO HIGHWAY,,,ADDRESS,NEW YORK,,MANHATTAN
3/13/12,12:45,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10013,,,,,CORTLANDT ALLEY,WHITE STREET,INTERSECTION,NEW YORK,,MANHATTAN
3/13/12,12:52,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10013,54 FRANKLIN STREET,FRANKLIN STREET,LAFAYETTE STREET,CORTLANDT ALLEY,,,ADDRESS,NEW YORK,,MANHATTAN
3/13/12,23:05,Noise - Vehicle,Engine Idling,Street/Sidewalk,10013,111 WORTH STREET,WORTH STREET,BROADWAY,LAFAYETTE STREET,,,ADDRESS,NEW YORK,,MANHATTAN
3/13/12,23:19,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10038,,,,,PARK ROW,SPRUCE STREET,INTERSECTION,NEW YORK,,MANHATTAN
